"","Pools","Year","Max_RSYL","Max_AMAC","Max_Depth","Max_Length","Max_Width","Park","LatDD","LongDD","Freq","Mean.Lat","State","PDSI"
"691","ANPGilley Field Beaver",2011,NA,NA,NA,NA,NA,"ACA",44.29466667,-68.35477778,4,44.3412418853147,"ME","0.34"
"692","ANPGilley Field Beaver",2012,NA,NA,NA,NA,NA,"ACA",44.29466667,-68.35477778,4,44.3412418853147,"ME","0.34"
"693","ANPGilley Field Beaver",2013,NA,NA,NA,NA,NA,"ACA",44.29466667,-68.35477778,4,44.3412418853147,"ME","0.34"
"694","ANPGilley Field Beaver",2014,NA,NA,NA,NA,NA,"ACA",44.29466667,-68.35477778,4,44.3412418853147,"ME","0.34"
"695","ANPGilley Field Beaver",2015,NA,NA,NA,NA,NA,"ACA",44.29466667,-68.35477778,4,44.3412418853147,"ME","0.34"
"696","ANPGilley Field Beaver",2016,NA,NA,NA,NA,NA,"ACA",44.29466667,-68.35477778,4,44.3412418853147,"ME","0.34"
"697","ANPGilley Field Beaver",2017,NA,NA,NA,NA,NA,"ACA",44.29466667,-68.35477778,4,44.3412418853147,"ME","0.34"
"698","ANPGilley Field Beaver",2018,NA,NA,NA,NA,NA,"ACA",44.29466667,-68.35477778,4,44.3412418853147,"ME","0.34"
"879","ANPWestern Mtn Rd South",2004,4,9,54,38.9,18.18,"ACA",44.28327778,-68.38777778,8,44.3412418853147,"ME","0.34"
"880","ANPWestern Mtn Rd South",2005,3,2,57,21.5,37.6,"ACA",44.28327778,-68.38777778,8,44.3412418853147,"ME","0.34"
"881","ANPWestern Mtn Rd South",2006,9,13,33,23,6.5,"ACA",44.28327778,-68.38777778,8,44.3412418853147,"ME","0.34"
"882","ANPWestern Mtn Rd South",2007,6,7,45,24,6.5,"ACA",44.28327778,-68.38777778,8,44.3412418853147,"ME","0.34"
"887","ANPWestern Mtn Rd South",2008,NA,NA,NA,NA,NA,"ACA",44.28327778,-68.38777778,8,44.3412418853147,"ME","0.34"
"883","ANPWestern Mtn Rd South",2009,14,13,47,34.6,15.1,"ACA",44.28327778,-68.38777778,8,44.3412418853147,"ME","0.34"
"884","ANPWestern Mtn Rd South",2010,11,12,184,39.24,16.1,"ACA",44.28327778,-68.38777778,8,44.3412418853147,"ME","0.34"
"885","ANPWestern Mtn Rd South",2011,6,7,62.2,37.99,21.36,"ACA",44.28327778,-68.38777778,8,44.3412418853147,"ME","0.34"
"886","ANPWestern Mtn Rd South",2012,10,0,63,25.3,12.3,"ACA",44.28327778,-68.38777778,8,44.3412418853147,"ME","0.34"
"888","ANPWestern Mtn Rd South",2013,NA,NA,NA,NA,NA,"ACA",44.28327778,-68.38777778,8,44.3412418853147,"ME","0.34"
"889","ANPWestern Mtn Rd South",2014,NA,NA,NA,NA,NA,"ACA",44.28327778,-68.38777778,8,44.3412418853147,"ME","0.34"
"890","ANPWestern Mtn Rd South",2015,NA,NA,NA,NA,NA,"ACA",44.28327778,-68.38777778,8,44.3412418853147,"ME","0.34"
"891","ANPWestern Mtn Rd South",2016,NA,NA,NA,NA,NA,"ACA",44.28327778,-68.38777778,8,44.3412418853147,"ME","0.34"
"892","ANPWestern Mtn Rd South",2017,NA,NA,NA,NA,NA,"ACA",44.28327778,-68.38777778,8,44.3412418853147,"ME","0.34"
"893","ANPWestern Mtn Rd South",2018,NA,NA,NA,NA,NA,"ACA",44.28327778,-68.38777778,8,44.3412418853147,"ME","0.34"
"909","ANPWildlife con vernal pool",2004,440,138,200,38.54,36.7,"ACA",44.2805598,-68.3844506,8,44.3412418853147,"ME","0.34"
"910","ANPWildlife con vernal pool",2005,354,144,104,37.4,73.3,"ACA",44.2805598,-68.3844506,8,44.3412418853147,"ME","0.34"
"911","ANPWildlife con vernal pool",2006,168,221,97,84,38,"ACA",44.2805598,-68.3844506,8,44.3412418853147,"ME","0.34"
"912","ANPWildlife con vernal pool",2007,505,18,97,84,38,"ACA",44.2805598,-68.3844506,8,44.3412418853147,"ME","0.34"
"917","ANPWildlife con vernal pool",2008,NA,NA,NA,NA,NA,"ACA",44.2805598,-68.3844506,8,44.3412418853147,"ME","0.34"
"913","ANPWildlife con vernal pool",2009,424,143,98,83,37.5,"ACA",44.2805598,-68.3844506,8,44.3412418853147,"ME","0.34"
"914","ANPWildlife con vernal pool",2010,648,52,218,100,38.5,"ACA",44.2805598,-68.3844506,8,44.3412418853147,"ME","0.34"
"915","ANPWildlife con vernal pool",2011,530,64,71.3,80,39.2,"ACA",44.2805598,-68.3844506,8,44.3412418853147,"ME","0.34"
"916","ANPWildlife con vernal pool",2012,600,133,82,61.6,30.6,"ACA",44.2805598,-68.3844506,8,44.3412418853147,"ME","0.34"
"918","ANPWildlife con vernal pool",2013,NA,NA,NA,NA,NA,"ACA",44.2805598,-68.3844506,8,44.3412418853147,"ME","0.34"
"919","ANPWildlife con vernal pool",2014,NA,NA,NA,NA,NA,"ACA",44.2805598,-68.3844506,8,44.3412418853147,"ME","0.34"
"920","ANPWildlife con vernal pool",2015,NA,NA,NA,NA,NA,"ACA",44.2805598,-68.3844506,8,44.3412418853147,"ME","0.34"
"921","ANPWildlife con vernal pool",2016,NA,NA,NA,NA,NA,"ACA",44.2805598,-68.3844506,8,44.3412418853147,"ME","0.34"
"922","ANPWildlife con vernal pool",2017,NA,NA,NA,NA,NA,"ACA",44.2805598,-68.3844506,8,44.3412418853147,"ME","0.34"
"923","ANPWildlife con vernal pool",2018,NA,NA,NA,NA,NA,"ACA",44.2805598,-68.3844506,8,44.3412418853147,"ME","0.34"
"804","ANPSeal Cove Rd",2004,17,24,44,19.13,16.2,"ACA",44.27797222,-68.38025,8,44.3412418853147,"ME","0.34"
"805","ANPSeal Cove Rd",2005,47,44,81,23.1,23.7,"ACA",44.27797222,-68.38025,8,44.3412418853147,"ME","0.34"
"806","ANPSeal Cove Rd",2006,72,0,14,182,86,"ACA",44.27797222,-68.38025,8,44.3412418853147,"ME","0.34"
"807","ANPSeal Cove Rd",2007,70,34,76,24,21,"ACA",44.27797222,-68.38025,8,44.3412418853147,"ME","0.34"
"812","ANPSeal Cove Rd",2008,NA,NA,NA,NA,NA,"ACA",44.27797222,-68.38025,8,44.3412418853147,"ME","0.34"
"808","ANPSeal Cove Rd",2009,69,232,72,23.3,23.3,"ACA",44.27797222,-68.38025,8,44.3412418853147,"ME","0.34"
"809","ANPSeal Cove Rd",2010,61,244,76.2,24.3,28.7,"ACA",44.27797222,-68.38025,8,44.3412418853147,"ME","0.34"
"810","ANPSeal Cove Rd",2011,29,105,82.3,26.64,21.66,"ACA",44.27797222,-68.38025,8,44.3412418853147,"ME","0.34"
"811","ANPSeal Cove Rd",2012,36,92,85,22.4,61.9,"ACA",44.27797222,-68.38025,8,44.3412418853147,"ME","0.34"
"813","ANPSeal Cove Rd",2013,NA,NA,NA,NA,NA,"ACA",44.27797222,-68.38025,8,44.3412418853147,"ME","0.34"
"814","ANPSeal Cove Rd",2014,NA,NA,NA,NA,NA,"ACA",44.27797222,-68.38025,8,44.3412418853147,"ME","0.34"
"815","ANPSeal Cove Rd",2015,NA,NA,NA,NA,NA,"ACA",44.27797222,-68.38025,8,44.3412418853147,"ME","0.34"
"816","ANPSeal Cove Rd",2016,NA,NA,NA,NA,NA,"ACA",44.27797222,-68.38025,8,44.3412418853147,"ME","0.34"
"817","ANPSeal Cove Rd",2017,NA,NA,NA,NA,NA,"ACA",44.27797222,-68.38025,8,44.3412418853147,"ME","0.34"
"818","ANPSeal Cove Rd",2018,NA,NA,NA,NA,NA,"ACA",44.27797222,-68.38025,8,44.3412418853147,"ME","0.34"
"1058","RCNWR50D",2004,NA,NA,NA,NA,NA,"RCN",43.36419444,-70.54036111,14,43.2317536393793,"ME","-1.85"
"1044","RCNWR50D",2005,96,238,88,84,60,"RCN",43.36419444,-70.54036111,14,43.2317536393793,"ME","-1.85"
"1045","RCNWR50D",2006,105,261,82,NA,NA,"RCN",43.36419444,-70.54036111,14,43.2317536393793,"ME","-1.85"
"1046","RCNWR50D",2007,306,275,90,90,24,"RCN",43.36419444,-70.54036111,14,43.2317536393793,"ME","-1.85"
"1047","RCNWR50D",2008,83,226,114,90,24,"RCN",43.36419444,-70.54036111,14,43.2317536393793,"ME","-1.85"
"1048","RCNWR50D",2009,437,238,152,82,84,"RCN",43.36419444,-70.54036111,14,43.2317536393793,"ME","-1.85"
"1049","RCNWR50D",2010,304,217,152,82,84,"RCN",43.36419444,-70.54036111,14,43.2317536393793,"ME","-1.85"
"1050","RCNWR50D",2011,160,228,77,104,210,"RCN",43.36419444,-70.54036111,14,43.2317536393793,"ME","-1.85"
"1051","RCNWR50D",2012,346,104,80,78,25,"RCN",43.36419444,-70.54036111,14,43.2317536393793,"ME","-1.85"
"1052","RCNWR50D",2013,667,329,90,80,25,"RCN",43.36419444,-70.54036111,14,43.2317536393793,"ME","-1.85"
"1053","RCNWR50D",2014,432,262,95,82,30,"RCN",43.36419444,-70.54036111,14,43.2317536393793,"ME","-1.85"
"1054","RCNWR50D",2015,366,379,100,81,44,"RCN",43.36419444,-70.54036111,14,43.2317536393793,"ME","-1.85"
"1055","RCNWR50D",2016,706,474,88,79,22,"RCN",43.36419444,-70.54036111,14,43.2317536393793,"ME","-1.85"
"1056","RCNWR50D",2017,267,333,87,88.6,47.1,"RCN",43.36419444,-70.54036111,14,43.2317536393793,"ME","-1.85"
"1057","RCNWR50D",2018,217,358,105,90,34,"RCN",43.36419444,-70.54036111,14,43.2317536393793,"ME","-1.85"
"1043","RCNWR50C",2004,NA,NA,NA,NA,NA,"RCN",43.36366667,-70.53844444,14,43.2317536393793,"ME","-1.85"
"1073","RCNWR50E",2004,NA,NA,NA,NA,NA,"RCN",43.36366667,-70.53666667,14,43.2317536393793,"ME","-1.85"
"1029","RCNWR50C",2005,0,0,37,37,30,"RCN",43.36366667,-70.53844444,14,43.2317536393793,"ME","-1.85"
"1059","RCNWR50E",2005,0,0,29,12,38,"RCN",43.36366667,-70.53666667,14,43.2317536393793,"ME","-1.85"
"1030","RCNWR50C",2006,0,0,26,15,10,"RCN",43.36366667,-70.53844444,14,43.2317536393793,"ME","-1.85"
"1060","RCNWR50E",2006,0,0,26,30,10,"RCN",43.36366667,-70.53666667,14,43.2317536393793,"ME","-1.85"
"1031","RCNWR50C",2007,0,1,30,38,11,"RCN",43.36366667,-70.53844444,14,43.2317536393793,"ME","-1.85"
"1061","RCNWR50E",2007,0,0,34,32,10,"RCN",43.36366667,-70.53666667,14,43.2317536393793,"ME","-1.85"
"1032","RCNWR50C",2008,0,0,37,26,9,"RCN",43.36366667,-70.53844444,14,43.2317536393793,"ME","-1.85"
"1062","RCNWR50E",2008,0,0,45,31,8,"RCN",43.36366667,-70.53666667,14,43.2317536393793,"ME","-1.85"
"1033","RCNWR50C",2009,0,0,35,29,13,"RCN",43.36366667,-70.53844444,14,43.2317536393793,"ME","-1.85"
"1063","RCNWR50E",2009,0,0,35,32,12,"RCN",43.36366667,-70.53666667,14,43.2317536393793,"ME","-1.85"
"1034","RCNWR50C",2010,0,0,35,46,16,"RCN",43.36366667,-70.53844444,14,43.2317536393793,"ME","-1.85"
"1064","RCNWR50E",2010,0,0,40,32,12,"RCN",43.36366667,-70.53666667,14,43.2317536393793,"ME","-1.85"
"1035","RCNWR50C",2011,0,0,25,32.7,12.6,"RCN",43.36366667,-70.53844444,14,43.2317536393793,"ME","-1.85"
"1065","RCNWR50E",2011,0,1,38,31.3,10,"RCN",43.36366667,-70.53666667,14,43.2317536393793,"ME","-1.85"
"1036","RCNWR50C",2012,0,0,19,30,10,"RCN",43.36366667,-70.53844444,14,43.2317536393793,"ME","-1.85"
"1066","RCNWR50E",2012,0,0,30,27,13,"RCN",43.36366667,-70.53666667,14,43.2317536393793,"ME","-1.85"
"1037","RCNWR50C",2013,2,0,25,31,12,"RCN",43.36366667,-70.53844444,14,43.2317536393793,"ME","-1.85"
"1067","RCNWR50E",2013,0,0,35,24.5,12,"RCN",43.36366667,-70.53666667,14,43.2317536393793,"ME","-1.85"
"1038","RCNWR50C",2014,0,0,30,43,12,"RCN",43.36366667,-70.53844444,14,43.2317536393793,"ME","-1.85"
"1068","RCNWR50E",2014,0,0,40,43,12,"RCN",43.36366667,-70.53666667,14,43.2317536393793,"ME","-1.85"
"1039","RCNWR50C",2015,1,0,45,23,12,"RCN",43.36366667,-70.53844444,14,43.2317536393793,"ME","-1.85"
"1069","RCNWR50E",2015,2,2,50,41,15,"RCN",43.36366667,-70.53666667,14,43.2317536393793,"ME","-1.85"
"1040","RCNWR50C",2016,0,0,14,23,10,"RCN",43.36366667,-70.53844444,14,43.2317536393793,"ME","-1.85"
"1070","RCNWR50E",2016,0,0,18,30,11,"RCN",43.36366667,-70.53666667,14,43.2317536393793,"ME","-1.85"
"1041","RCNWR50C",2017,0,3,43,100.2,14.5,"RCN",43.36366667,-70.53844444,14,43.2317536393793,"ME","-1.85"
"1071","RCNWR50E",2017,0,0,48,32.4,15,"RCN",43.36366667,-70.53666667,14,43.2317536393793,"ME","-1.85"
"1042","RCNWR50C",2018,0,0,33,40,18,"RCN",43.36366667,-70.53844444,14,43.2317536393793,"ME","-1.85"
"1072","RCNWR50E",2018,0,0,48,32,12,"RCN",43.36366667,-70.53666667,14,43.2317536393793,"ME","-1.85"
"1079","RCNWR50F",2004,NA,NA,NA,NA,NA,"RCN",43.36361111,-70.53694444,5,43.2317536393793,"ME","1.05"
"1074","RCNWR50F",2005,0,2,36,15,5,"RCN",43.36361111,-70.53694444,5,43.2317536393793,"ME","1.05"
"1075","RCNWR50F",2006,0,0,21,10,4,"RCN",43.36361111,-70.53694444,5,43.2317536393793,"ME","1.05"
"1076","RCNWR50F",2007,0,5,22,9,4,"RCN",43.36361111,-70.53694444,5,43.2317536393793,"ME","1.05"
"1080","RCNWR50F",2008,NA,NA,NA,NA,NA,"RCN",43.36361111,-70.53694444,5,43.2317536393793,"ME","1.05"
"1081","RCNWR50F",2009,NA,NA,NA,NA,NA,"RCN",43.36361111,-70.53694444,5,43.2317536393793,"ME","1.05"
"1082","RCNWR50F",2010,NA,NA,NA,NA,NA,"RCN",43.36361111,-70.53694444,5,43.2317536393793,"ME","1.05"
"1077","RCNWR50F",2011,0,0,20,11,4.8,"RCN",43.36361111,-70.53694444,5,43.2317536393793,"ME","1.05"
"1083","RCNWR50F",2012,NA,NA,NA,NA,NA,"RCN",43.36361111,-70.53694444,5,43.2317536393793,"ME","1.05"
"1084","RCNWR50F",2013,NA,NA,NA,NA,NA,"RCN",43.36361111,-70.53694444,5,43.2317536393793,"ME","1.05"
"1085","RCNWR50F",2014,NA,NA,NA,NA,NA,"RCN",43.36361111,-70.53694444,5,43.2317536393793,"ME","1.05"
"1086","RCNWR50F",2015,NA,NA,NA,NA,NA,"RCN",43.36361111,-70.53694444,5,43.2317536393793,"ME","1.05"
"1087","RCNWR50F",2016,NA,NA,NA,NA,NA,"RCN",43.36361111,-70.53694444,5,43.2317536393793,"ME","1.05"
"1078","RCNWR50F",2017,0,0,38,17.4,5.5,"RCN",43.36361111,-70.53694444,5,43.2317536393793,"ME","1.05"
"1088","RCNWR50F",2018,NA,NA,NA,NA,NA,"RCN",43.36361111,-70.53694444,5,43.2317536393793,"ME","1.05"
"1013","RCNWR50A",2004,NA,NA,NA,NA,NA,"RCN",43.36336111,-70.53769444,14,43.2317536393793,"ME","-1.85"
"999","RCNWR50A",2005,136,72,56,84,29,"RCN",43.36336111,-70.53769444,14,43.2317536393793,"ME","-1.85"
"1000","RCNWR50A",2006,51,27,38,60,27.8,"RCN",43.36336111,-70.53769444,14,43.2317536393793,"ME","-1.85"
"1001","RCNWR50A",2007,114,29,46,62,28,"RCN",43.36336111,-70.53769444,14,43.2317536393793,"ME","-1.85"
"1002","RCNWR50A",2008,424,45,52,57,44,"RCN",43.36336111,-70.53769444,14,43.2317536393793,"ME","-1.85"
"1003","RCNWR50A",2009,396,27,46,65,38,"RCN",43.36336111,-70.53769444,14,43.2317536393793,"ME","-1.85"
"1004","RCNWR50A",2010,156,25,50,103,36,"RCN",43.36336111,-70.53769444,14,43.2317536393793,"ME","-1.85"
"1005","RCNWR50A",2011,20,6,43,117,38,"RCN",43.36336111,-70.53769444,14,43.2317536393793,"ME","-1.85"
"1006","RCNWR50A",2012,161,3,35,45,30,"RCN",43.36336111,-70.53769444,14,43.2317536393793,"ME","-1.85"
"1007","RCNWR50A",2013,574,24,40,66.5,34,"RCN",43.36336111,-70.53769444,14,43.2317536393793,"ME","-1.85"
"1008","RCNWR50A",2014,597,41,55,59,40,"RCN",43.36336111,-70.53769444,14,43.2317536393793,"ME","-1.85"
"1009","RCNWR50A",2015,386,28,55,62,35,"RCN",43.36336111,-70.53769444,14,43.2317536393793,"ME","-1.85"
"1010","RCNWR50A",2016,779,16,40,47,37,"RCN",43.36336111,-70.53769444,14,43.2317536393793,"ME","-1.85"
"1011","RCNWR50A",2017,370,25,61,71.4,36,"RCN",43.36336111,-70.53769444,14,43.2317536393793,"ME","-1.85"
"1012","RCNWR50A",2018,145,31,53,121,41,"RCN",43.36336111,-70.53769444,14,43.2317536393793,"ME","-1.85"
"1028","RCNWR50B",2004,NA,NA,NA,NA,NA,"RCN",43.36244444,-70.53775,14,43.2317536393793,"ME","-1.85"
"1014","RCNWR50B",2005,6,2,77,152,62,"RCN",43.36244444,-70.53775,14,43.2317536393793,"ME","-1.85"
"1015","RCNWR50B",2006,0,3,55,NA,NA,"RCN",43.36244444,-70.53775,14,43.2317536393793,"ME","-1.85"
"1016","RCNWR50B",2007,47,0,63,140,40,"RCN",43.36244444,-70.53775,14,43.2317536393793,"ME","-1.85"
"1017","RCNWR50B",2008,57,0,63,140,40,"RCN",43.36244444,-70.53775,14,43.2317536393793,"ME","-1.85"
"1018","RCNWR50B",2009,52,3,68,11,51,"RCN",43.36244444,-70.53775,14,43.2317536393793,"ME","-1.85"
"1019","RCNWR50B",2010,20,1,70,141,51,"RCN",43.36244444,-70.53775,14,43.2317536393793,"ME","-1.85"
"1020","RCNWR50B",2011,0,0,68,133,59.7,"RCN",43.36244444,-70.53775,14,43.2317536393793,"ME","-1.85"
"1021","RCNWR50B",2012,35,3,60,140,40,"RCN",43.36244444,-70.53775,14,43.2317536393793,"ME","-1.85"
"1022","RCNWR50B",2013,69,8,70,140,40,"RCN",43.36244444,-70.53775,14,43.2317536393793,"ME","-1.85"
"1023","RCNWR50B",2014,94,10,80,140,45,"RCN",43.36244444,-70.53775,14,43.2317536393793,"ME","-1.85"
"1024","RCNWR50B",2015,115,19,90,120,49,"RCN",43.36244444,-70.53775,14,43.2317536393793,"ME","-1.85"
"1025","RCNWR50B",2016,182,13,80,110,59,"RCN",43.36244444,-70.53775,14,43.2317536393793,"ME","-1.85"
"1026","RCNWR50B",2017,169,15,73,146.4,45.5,"RCN",43.36244444,-70.53775,14,43.2317536393793,"ME","-1.85"
"1027","RCNWR50B",2018,67,10,92,130,44,"RCN",43.36244444,-70.53775,14,43.2317536393793,"ME","-1.85"
"1284","IRNWR73i",2004,8,0,84,27.7,18,"INW",43.14666667,-78.39725,14,43.1396350070742,"NY","-2.23"
"1285","IRNWR73i",2005,1,0,86,30,20,"INW",43.14666667,-78.39725,14,43.1396350070742,"NY","-2.23"
"1286","IRNWR73i",2006,19,0,78,21,15,"INW",43.14666667,-78.39725,14,43.1396350070742,"NY","-2.23"
"1287","IRNWR73i",2007,3,0,80,21,15,"INW",43.14666667,-78.39725,14,43.1396350070742,"NY","-2.23"
"1298","IRNWR73i",2008,NA,NA,NA,NA,NA,"INW",43.14666667,-78.39725,14,43.1396350070742,"NY","-2.23"
"1288","IRNWR73i",2009,4,0,75,22.2,18.5,"INW",43.14666667,-78.39725,14,43.1396350070742,"NY","-2.23"
"1289","IRNWR73i",2010,16,0,62,15.2,11.1,"INW",43.14666667,-78.39725,14,43.1396350070742,"NY","-2.23"
"1290","IRNWR73i",2011,7,0,76,23.6,18.9,"INW",43.14666667,-78.39725,14,43.1396350070742,"NY","-2.23"
"1291","IRNWR73i",2012,15,0,67,20,13,"INW",43.14666667,-78.39725,14,43.1396350070742,"NY","-2.23"
"1292","IRNWR73i",2013,1,0,82,21,16,"INW",43.14666667,-78.39725,14,43.1396350070742,"NY","-2.23"
"1293","IRNWR73i",2014,20,0,80,30,30,"INW",43.14666667,-78.39725,14,43.1396350070742,"NY","-2.23"
"1294","IRNWR73i",2015,1,0,77,17,26,"INW",43.14666667,-78.39725,14,43.1396350070742,"NY","-2.23"
"1295","IRNWR73i",2016,55,27,60,20,12,"INW",43.14666667,-78.39725,14,43.1396350070742,"NY","-2.23"
"1296","IRNWR73i",2017,0,0,80,24.5,14,"INW",43.14666667,-78.39725,14,43.1396350070742,"NY","-2.23"
"1297","IRNWR73i",2018,8,0,73,25,15,"INW",43.14666667,-78.39725,14,43.1396350070742,"NY","-2.23"
"1269","IRNWR73h",2004,1,0,69,33.2,10.6,"INW",43.14641667,-78.39727778,14,43.1396350070742,"NY","-2.23"
"1270","IRNWR73h",2005,0,0,70,33,12,"INW",43.14641667,-78.39727778,14,43.1396350070742,"NY","-2.23"
"1271","IRNWR73h",2006,0,0,60,30,11,"INW",43.14641667,-78.39727778,14,43.1396350070742,"NY","-2.23"
"1272","IRNWR73h",2007,0,0,70,35,13,"INW",43.14641667,-78.39727778,14,43.1396350070742,"NY","-2.23"
"1283","IRNWR73h",2008,NA,NA,NA,NA,NA,"INW",43.14641667,-78.39727778,14,43.1396350070742,"NY","-2.23"
"1273","IRNWR73h",2009,1,0,68,31.8,12,"INW",43.14641667,-78.39727778,14,43.1396350070742,"NY","-2.23"
"1274","IRNWR73h",2010,1,0,65,30,9.4,"INW",43.14641667,-78.39727778,14,43.1396350070742,"NY","-2.23"
"1275","IRNWR73h",2011,4,0,70.5,35,13,"INW",43.14641667,-78.39727778,14,43.1396350070742,"NY","-2.23"
"1276","IRNWR73h",2012,2,0,65,32,10,"INW",43.14641667,-78.39727778,14,43.1396350070742,"NY","-2.23"
"1277","IRNWR73h",2013,0,0,84,32,10,"INW",43.14641667,-78.39727778,14,43.1396350070742,"NY","-2.23"
"1278","IRNWR73h",2014,7,0,72,35,8,"INW",43.14641667,-78.39727778,14,43.1396350070742,"NY","-2.23"
"1279","IRNWR73h",2015,0,7,70,10,33,"INW",43.14641667,-78.39727778,14,43.1396350070742,"NY","-2.23"
"1280","IRNWR73h",2016,33,60,45,18,8,"INW",43.14641667,-78.39727778,14,43.1396350070742,"NY","-2.23"
"1281","IRNWR73h",2017,0,0,80,27,9,"INW",43.14641667,-78.39727778,14,43.1396350070742,"NY","-2.23"
"1282","IRNWR73h",2018,1,0,67,34,14,"INW",43.14641667,-78.39727778,14,43.1396350070742,"NY","-2.23"
"1164","IRNWR73a",2004,0,0,29.5,22.6,9,"INW",43.14622222,-78.3955,13,43.1396350070742,"NY","-2.23"
"1194","IRNWR73c",2004,0,0,41,58,60,"INW",43.14622222,-78.39625,14,43.1396350070742,"NY","-2.23"
"1165","IRNWR73a",2005,0,0,25,23,9,"INW",43.14622222,-78.3955,13,43.1396350070742,"NY","-2.23"
"1195","IRNWR73c",2005,0,0,46,58,63,"INW",43.14622222,-78.39625,14,43.1396350070742,"NY","-2.23"
"1166","IRNWR73a",2006,0,0,27.5,23,9,"INW",43.14622222,-78.3955,13,43.1396350070742,"NY","-2.23"
"1196","IRNWR73c",2006,22,0,45,61,56,"INW",43.14622222,-78.39625,14,43.1396350070742,"NY","-2.23"
"1167","IRNWR73a",2007,0,0,30,26,11,"INW",43.14622222,-78.3955,13,43.1396350070742,"NY","-2.23"
"1197","IRNWR73c",2007,74,0,47,64,58,"INW",43.14622222,-78.39625,14,43.1396350070742,"NY","-2.23"
"1177","IRNWR73a",2008,NA,NA,NA,NA,NA,"INW",43.14622222,-78.3955,13,43.1396350070742,"NY","-2.23"
"1208","IRNWR73c",2008,NA,NA,NA,NA,NA,"INW",43.14622222,-78.39625,14,43.1396350070742,"NY","-2.23"
"1168","IRNWR73a",2009,0,0,27,23.4,10.4,"INW",43.14622222,-78.3955,13,43.1396350070742,"NY","-2.23"
"1198","IRNWR73c",2009,10,0,84,100,25.5,"INW",43.14622222,-78.39625,14,43.1396350070742,"NY","-2.23"
"1169","IRNWR73a",2010,4,0,25,21.9,9.5,"INW",43.14622222,-78.3955,13,43.1396350070742,"NY","-2.23"
"1199","IRNWR73c",2010,11,0,35,25.1,22.4,"INW",43.14622222,-78.39625,14,43.1396350070742,"NY","-2.23"
"1170","IRNWR73a",2011,2,0,31,26.5,11,"INW",43.14622222,-78.3955,13,43.1396350070742,"NY","-2.23"
"1200","IRNWR73c",2011,18,0,35,143,28.7,"INW",43.14622222,-78.39625,14,43.1396350070742,"NY","-2.23"
"1171","IRNWR73a",2012,0,0,21,24,11,"INW",43.14622222,-78.3955,13,43.1396350070742,"NY","-2.23"
"1201","IRNWR73c",2012,127,0,38,77,50,"INW",43.14622222,-78.39625,14,43.1396350070742,"NY","-2.23"
"1172","IRNWR73a",2013,0,0,29,26,16,"INW",43.14622222,-78.3955,13,43.1396350070742,"NY","-2.23"
"1202","IRNWR73c",2013,0,0,42,110,60.2,"INW",43.14622222,-78.39625,14,43.1396350070742,"NY","-2.23"
"1173","IRNWR73a",2014,0,0,20,18,10.3,"INW",43.14622222,-78.3955,13,43.1396350070742,"NY","-2.23"
"1203","IRNWR73c",2014,20,0,60,144,55,"INW",43.14622222,-78.39625,14,43.1396350070742,"NY","-2.23"
"1174","IRNWR73a",2015,0,0,25,13,26,"INW",43.14622222,-78.3955,13,43.1396350070742,"NY","-2.23"
"1204","IRNWR73c",2015,101,0,37,31,83,"INW",43.14622222,-78.39625,14,43.1396350070742,"NY","-2.23"
"1175","IRNWR73a",2016,2,0,20,32,8,"INW",43.14622222,-78.3955,13,43.1396350070742,"NY","-2.23"
"1205","IRNWR73c",2016,175,0,40,150,75,"INW",43.14622222,-78.39625,14,43.1396350070742,"NY","-2.23"
"1176","IRNWR73a",2017,0,0,27.5,20,10.5,"INW",43.14622222,-78.3955,13,43.1396350070742,"NY","-2.23"
"1206","IRNWR73c",2017,25,0,30,25,27,"INW",43.14622222,-78.39625,14,43.1396350070742,"NY","-2.23"
"1178","IRNWR73a",2018,NA,NA,NA,NA,NA,"INW",43.14622222,-78.3955,13,43.1396350070742,"NY","-2.23"
"1207","IRNWR73c",2018,12,0,46,155,78,"INW",43.14622222,-78.39625,14,43.1396350070742,"NY","-2.23"
"1209","IRNWR73d",2004,0,0,92,14.1,16,"INW",43.146,-78.39605556,13,43.1396350070742,"NY","-2.23"
"1210","IRNWR73d",2005,0,0,91,15,16,"INW",43.146,-78.39605556,13,43.1396350070742,"NY","-2.23"
"1211","IRNWR73d",2006,0,0,90,18,11,"INW",43.146,-78.39605556,13,43.1396350070742,"NY","-2.23"
"1212","IRNWR73d",2007,4,0,94,17,11,"INW",43.146,-78.39605556,13,43.1396350070742,"NY","-2.23"
"1222","IRNWR73d",2008,NA,NA,NA,NA,NA,"INW",43.146,-78.39605556,13,43.1396350070742,"NY","-2.23"
"1213","IRNWR73d",2009,0,0,66,51,20.8,"INW",43.146,-78.39605556,13,43.1396350070742,"NY","-2.23"
"1214","IRNWR73d",2010,2,0,59,41.2,17.3,"INW",43.146,-78.39605556,13,43.1396350070742,"NY","-2.23"
"1215","IRNWR73d",2011,6,0,66.5,58,23,"INW",43.146,-78.39605556,13,43.1396350070742,"NY","-2.23"
"1216","IRNWR73d",2012,4,0,87,15,14,"INW",43.146,-78.39605556,13,43.1396350070742,"NY","-2.23"
"1217","IRNWR73d",2013,1,0,41,17,14.6,"INW",43.146,-78.39605556,13,43.1396350070742,"NY","-2.23"
